"Protein","Protein Description"
"XP_020603414.1","anti-lipopolysaccharide factor-like [Orbicella faveolata]"
"XP_020603416.1","slowpoke-binding protein-like isoform X1 [Orbicella faveolata]"
"XP_020603428.1","sacsin-like [Orbicella faveolata]"
"XP_020603430.1","uncharacterized protein LOC110042407 [Orbicella faveolata]"
"XP_020603431.1","uncharacterized protein LOC110042408 [Orbicella faveolata]"
"XP_020603435.1","uncharacterized protein LOC110042409 [Orbicella faveolata]"
"XP_020603438.1","uncharacterized protein LOC110042413 [Orbicella faveolata]"
"XP_020603442.1","uncharacterized protein LOC110042416 [Orbicella faveolata]"
"XP_020603443.1","uncharacterized protein LOC110042417 [Orbicella faveolata]"
"XP_020603445.1","uncharacterized protein LOC110042419 [Orbicella faveolata]"
"XP_020603446.1","uncharacterized protein LOC110042420 [Orbicella faveolata]"
"XP_020603456.1","dehydrogenase/reductase SDR family member 7-like isoform X1 [Orbicella faveolata]"
"XP_020603459.1","nascent polypeptide-associated complex subunit alpha, muscle-specific form-like isoform X1 [Orbicella faveolata]"
"XP_020603464.1","retinol dehydrogenase 12-like isoform X1 [Orbicella faveolata]"
"XP_020603466.1","retinol dehydrogenase 13-like [Orbicella faveolata]"
"XP_020603467.1","HHIP-like protein 2 [Orbicella faveolata]"
"XP_020603468.1","amine oxidase [flavin-containing] B-like [Orbicella faveolata]"
"XP_020603469.1","N-acetylglucosamine-1-phosphotransferase subunits alpha/beta-like [Orbicella faveolata]"
"XP_020603470.1","amiloride-sensitive amine oxidase [copper-containing]-like [Orbicella faveolata]"
"XP_020603471.1","exportin-1-like [Orbicella faveolata]"
"XP_020603472.1","exportin-1-like [Orbicella faveolata]"
"XP_020603474.1","uncharacterized protein LOC110042443 isoform X1 [Orbicella faveolata]"
"XP_020603479.1","protein-glutamate O-methyltransferase-like isoform X1 [Orbicella faveolata]"
"XP_020603481.1","tRNA methyltransferase 10 homolog A-like [Orbicella faveolata]"
"XP_020603484.1","protein starmaker-like isoform X1 [Orbicella faveolata]"
"XP_020603486.1","uncharacterized protein LOC110042451 [Orbicella faveolata]"
"XP_020603493.1","thioredoxin domain-containing protein 9-like [Orbicella faveolata]"
"XP_020603498.1","coiled-coil domain-containing protein 170-like [Orbicella faveolata]"
"XP_020603510.1","kanadaptin-like [Orbicella faveolata]"
"XP_020603512.1","LOW QUALITY PROTEIN: uncharacterized protein LOC110042473 [Orbicella faveolata]"
"XP_020603513.1","uncharacterized protein LOC110042474 [Orbicella faveolata]"
"XP_020603514.1","UTP--glucose-1-phosphate uridylyltransferase-like isoform X1 [Orbicella faveolata]"
"XP_020603517.1","ubiquinone biosynthesis monooxygenase COQ6, mitochondrial-like [Orbicella faveolata]"
"XP_020603519.1","COMM domain-containing protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020603521.1","sphingolipid delta(4)-desaturase DES1-like [Orbicella faveolata]"
"XP_020603522.1","uncharacterized protein LOC110042482 [Orbicella faveolata]"
"XP_020603526.1","uncharacterized protein LOC110042486 [Orbicella faveolata]"
"XP_020603530.1","uncharacterized protein LOC110042490 [Orbicella faveolata]"
"XP_020603535.1","retinol dehydrogenase 11-like [Orbicella faveolata]"
"XP_020603536.1","retinol dehydrogenase 13-like [Orbicella faveolata]"
"XP_020603539.1","kinesin-like protein KIF16B [Orbicella faveolata]"
"XP_020603541.1","protein sel-1 homolog 1-like [Orbicella faveolata]"
"XP_020603549.1","uncharacterized protein LOC110042508 [Orbicella faveolata]"
"XP_020603551.1","probable serine/threonine-protein kinase drkA [Orbicella faveolata]"
"XP_020603552.1","uncharacterized protein LOC110042512 [Orbicella faveolata]"
"XP_020603553.1","usherin-like [Orbicella faveolata]"
"XP_020603559.1","nuclear export mediator factor NEMF-like [Orbicella faveolata]"
"XP_020603564.1","iron-sulfur cluster assembly 2 homolog, mitochondrial-like [Orbicella faveolata]"
"XP_020603568.1","uncharacterized protein LOC110042527 [Orbicella faveolata]"
"XP_020603571.1","MAGUK p55 subfamily member 5-like [Orbicella faveolata]"
"XP_020603572.1","3-hydroxyacyl-CoA dehydrogenase type-2-like isoform X1 [Orbicella faveolata]"
"XP_020603574.1","calmodulin-like protein 12 [Orbicella faveolata]"
"XP_020603575.1","protein Wnt-8b-like [Orbicella faveolata]"
"XP_020603577.1","metastasis-associated protein MTA3-like [Orbicella faveolata]"
"XP_020603581.1","uncharacterized protein LOC110042541 [Orbicella faveolata]"
"XP_020603582.1","T-complex protein 1 subunit delta-like isoform X1 [Orbicella faveolata]"
"XP_020603584.1","protein Wnt-8b-like isoform X1 [Orbicella faveolata]"
"XP_020603587.1","uncharacterized protein DDB_G0287347-like [Orbicella faveolata]"
"XP_020603592.1","WD repeat-containing protein 92-like [Orbicella faveolata]"
"XP_020603595.1","radial spoke head protein 9 homolog [Orbicella faveolata]"
"XP_020603601.1","tetratricopeptide repeat protein 28-like [Orbicella faveolata]"
"XP_020603605.1","ankyrin repeat domain-containing protein 54-like [Orbicella faveolata]"
"XP_020603610.1","kynurenine--oxoglutarate transaminase 3-like isoform X1 [Orbicella faveolata]"
"XP_020603618.1","EH domain-binding protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020603620.1","ras-related protein Rab-14 [Orbicella faveolata]"
"XP_020603623.1","uncharacterized protein LOC110042599 isoform X2 [Orbicella faveolata]"
"XP_020603626.1","uncharacterized protein LOC110042603 [Orbicella faveolata]"
"XP_020603628.1","ryncolin-1-like [Orbicella faveolata]"
"XP_020603630.1","uncharacterized protein LOC110042607 [Orbicella faveolata]"
"XP_020603637.1","poly(U)-binding-splicing factor PUF60-B-like isoform X1 [Orbicella faveolata]"
"XP_020603641.1","glutaredoxin-3-like [Orbicella faveolata]"
"XP_020603643.1","uncharacterized protein LOC110042617 [Orbicella faveolata]"
"XP_020603648.1","uncharacterized protein LOC110042619 [Orbicella faveolata]"
"XP_020603651.1","uncharacterized protein LOC110042625 [Orbicella faveolata]"
"XP_020603653.1","zinc metalloproteinase nas-13-like isoform X1 [Orbicella faveolata]"
"XP_020603655.1","uncharacterized protein C20orf194-like [Orbicella faveolata]"
"XP_020603666.1","synaptobrevin homolog YKT6-like [Orbicella faveolata]"
"XP_020603670.1","transmembrane protein 53-like [Orbicella faveolata]"
"XP_020603672.1","ras-related protein Rab-28-like [Orbicella faveolata]"
"XP_020603676.1","SH3 and PX domain-containing protein 2A-like [Orbicella faveolata]"
"XP_020603677.1","type I inositol 1,4,5-trisphosphate 5-phosphatase-like [Orbicella faveolata]"
"XP_020603678.1","alpha-(1,3)-fucosyltransferase 6-like, partial [Orbicella faveolata]"
"XP_020603679.1","major vault protein-like [Orbicella faveolata]"
"XP_020603680.1","multidrug resistance-associated protein 4-like [Orbicella faveolata]"
"XP_020603688.1","E3 ubiquitin-protein ligase TRIM71-like, partial [Orbicella faveolata]"
"XP_020603696.1","uncharacterized skeletal organic matrix protein 8-like [Orbicella faveolata]"
"XP_020603697.1","phosphatidylinositol 4-kinase type 2-beta-like [Orbicella faveolata]"
"XP_020603702.1","uncharacterized protein LOC110042677 [Orbicella faveolata]"
"XP_020603706.1","uncharacterized protein LOC110042683 [Orbicella faveolata]"
"XP_020603708.1","uncharacterized protein LOC110042685 [Orbicella faveolata]"
"XP_020603713.1","2,3-bisphosphoglycerate-independent phosphoglycerate mutase-like [Orbicella faveolata]"
"XP_020603714.1","sialate O-acetylesterase-like [Orbicella faveolata]"
"XP_020603715.1","WD repeat-containing protein 11-like [Orbicella faveolata]"
"XP_020603724.1","mitoferrin-1-like [Orbicella faveolata]"
"XP_020603726.1","uncharacterized protein LOC110042700 [Orbicella faveolata]"
"XP_020603738.1","uncharacterized protein LOC110042712 [Orbicella faveolata]"
"XP_020603742.1","transcription elongation regulator 1-like isoform X1 [Orbicella faveolata]"
"XP_020603746.1","ras-like GTP-binding protein YPT1 [Orbicella faveolata]"
"XP_020603755.1","probable E3 ubiquitin-protein ligase HECTD4 [Orbicella faveolata]"
"XP_020603756.1","N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1-like [Orbicella faveolata]"
"XP_020603759.1","apoptosis inhibitor 5-like [Orbicella faveolata]"
"XP_020603760.1","uncharacterized protein LOC110042731 [Orbicella faveolata]"
"XP_020603762.1","40S ribosomal protein S16-like [Orbicella faveolata]"
"XP_020603766.1","uncharacterized protein LOC110042734 [Orbicella faveolata]"
"XP_020603773.1","poly(U)-specific endoribonuclease-B-like [Orbicella faveolata]"
"XP_020603793.1","mesoderm-specific transcript protein-like [Orbicella faveolata]"
"XP_020603796.1","uncharacterized protein LOC110042769 [Orbicella faveolata]"
"XP_020603808.1","beta-1,4-N-acetylgalactosaminyltransferase 3-like, partial [Orbicella faveolata]"
"XP_020603812.1","caprin-1-like [Orbicella faveolata]"
"XP_020603813.1","protein Dr1-like [Orbicella faveolata]"
"XP_020603818.1","uncharacterized protein LOC110042791 [Orbicella faveolata]"
"XP_020603823.1","microtubule-associated protein futsch-like isoform X1 [Orbicella faveolata]"
"XP_020603824.1","microtubule-associated protein futsch-like isoform X2 [Orbicella faveolata]"
"XP_020603825.1","ectonucleoside triphosphate diphosphohydrolase 1-like isoform X1 [Orbicella faveolata]"
"XP_020603831.1","pancreatic secretory granule membrane major glycoprotein GP2-like isoform X1 [Orbicella faveolata]"
"XP_020603836.1","E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]"
"XP_020603843.1","uncharacterized protein LOC110042815 [Orbicella faveolata]"
"XP_020603846.1","uncharacterized protein LOC110042819 [Orbicella faveolata]"
"XP_020603859.1","uncharacterized protein LOC110042822 [Orbicella faveolata]"
"XP_020603864.1","AP-2 complex subunit alpha-2-like [Orbicella faveolata]"
"XP_020603870.1","probable ethanolamine kinase [Orbicella faveolata]"
"XP_020603871.1","ER membrane protein complex subunit 10-like [Orbicella faveolata]"
"XP_020603876.1","centrosomal protein of 41 kDa-like isoform X1 [Orbicella faveolata]"
"XP_020603878.1","uncharacterized protein LOC110042837 [Orbicella faveolata]"
"XP_020603879.1","uncharacterized protein LOC110042838 [Orbicella faveolata]"
"XP_020603880.1","glutaredoxin-like [Orbicella faveolata]"
"XP_020603881.1","glutaredoxin-like [Orbicella faveolata]"
"XP_020603884.1","puromycin-sensitive aminopeptidase-like isoform X1 [Orbicella faveolata]"
"XP_020603885.1","SUMO-conjugating enzyme UBC9-like [Orbicella faveolata]"
"XP_020603887.1","uncharacterized protein LOC110042848 [Orbicella faveolata]"
"XP_020603890.1","protein CASC1-like [Orbicella faveolata]"
"XP_020603896.1","beta-parvin-like [Orbicella faveolata]"
"XP_020603899.1","uncharacterized protein LOC110042858 [Orbicella faveolata]"
"XP_020603901.1","protein phosphatase 1 regulatory subunit 12A-like [Orbicella faveolata]"
"XP_020603903.1","prostaglandin reductase-3-like [Orbicella faveolata]"
"XP_020603904.1","putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Orbicella faveolata]"
"XP_020603914.1","uncharacterized protein LOC110042874 [Orbicella faveolata]"
"XP_020603915.1","uncharacterized protein LOC110042875 [Orbicella faveolata]"
"XP_020603918.1","zinc finger CCCH domain-containing protein 13-like [Orbicella faveolata]"
"XP_020603923.1","tectonic-3-like [Orbicella faveolata]"
"XP_020603932.1","transmembrane protein 53-like [Orbicella faveolata]"
"XP_020603942.1","uncharacterized protein LOC110042898 isoform X1 [Orbicella faveolata]"
"XP_020603945.1","root-specific lectin-like [Orbicella faveolata]"
"XP_020603948.1","membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3-like [Orbicella faveolata]"
"XP_020603949.1","protein bicaudal D homolog 2-like [Orbicella faveolata]"
"XP_020603950.1","uncharacterized protein LOC110042908 isoform X1 [Orbicella faveolata]"
"XP_020603952.1","ADP-ribosylation factor-like protein 8B-A [Orbicella faveolata]"
"XP_020603953.1","uncharacterized protein LOC110042910 [Orbicella faveolata]"
"XP_020603958.1","acetylserotonin O-methyltransferase-like [Orbicella faveolata]"
"XP_020603966.1","uncharacterized protein LOC110042925 [Orbicella faveolata]"
"XP_020603968.1","cleavage and polyadenylation specificity factor subunit 1-like [Orbicella faveolata]"
"XP_020603973.1","sarcosine dehydrogenase, mitochondrial-like [Orbicella faveolata]"
"XP_020603983.1","calcium-binding mitochondrial carrier protein SCaMC-2-like [Orbicella faveolata]"
"XP_020603985.1","uncharacterized protein LOC110042936 [Orbicella faveolata]"
"XP_020603986.1","uncharacterized protein LOC110042937 [Orbicella faveolata]"
"XP_020603991.1","uncharacterized protein LOC110042943 [Orbicella faveolata]"
"XP_020603993.1","transient-receptor-potential-like protein [Orbicella faveolata]"
"XP_020604003.1","uncharacterized protein KIAA1109-like [Orbicella faveolata]"
"XP_020604005.1","uncharacterized protein LOC110042957 [Orbicella faveolata]"
"XP_020604010.1","uncharacterized protein LOC110042961 [Orbicella faveolata]"
"XP_020604011.1","calumenin-A-like [Orbicella faveolata]"
"XP_020604012.1","LOW QUALITY PROTEIN: 60S ribosomal protein L35-like [Orbicella faveolata]"
"XP_020604018.1","tyrosine-protein kinase ABL1-like [Orbicella faveolata]"
"XP_020604024.1","arginine--tRNA ligase, cytoplasmic-like [Orbicella faveolata]"
"XP_020604025.1","TBC domain-containing protein kinase-like protein [Orbicella faveolata]"
"XP_020604029.1","kinesin-like protein KIF3A [Orbicella faveolata]"
"XP_020604034.1","procollagen galactosyltransferase 1-like [Orbicella faveolata]"
"XP_020604040.1","membrane-associated progesterone receptor component 2-like [Orbicella faveolata]"
"XP_020604041.1","protein PRRC2C-like [Orbicella faveolata]"
"XP_020604044.1","calumenin-like [Orbicella faveolata]"
"XP_020604049.1","syntaxin-6-like [Orbicella faveolata]"
"XP_020604058.1","uncharacterized protein LOC110043005 [Orbicella faveolata]"
"XP_020604062.1","kinase D-interacting substrate of 220 kDa-like isoform X1 [Orbicella faveolata]"
"XP_020604067.1","cilia- and flagella-associated protein 20 [Orbicella faveolata]"
"XP_020604076.1","short transient receptor potential channel 3-like [Orbicella faveolata]"
"XP_020604080.1","uncharacterized protein LOC110043017 isoform X1 [Orbicella faveolata]"
"XP_020604083.1","60 kDa SS-A/Ro ribonucleoprotein-like [Orbicella faveolata]"
"XP_020604089.1","lysosomal Pro-X carboxypeptidase-like [Orbicella faveolata]"
"XP_020604093.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020604100.1","acetylserotonin O-methyltransferase-like [Orbicella faveolata]"
"XP_020604111.1","ankyrin repeat domain-containing protein 50-like [Orbicella faveolata]"
"XP_020604113.1","PC3-like endoprotease variant B [Orbicella faveolata]"
"XP_020604117.1","vesicle-associated membrane protein 7-like [Orbicella faveolata]"
"XP_020604122.1","integrin-linked protein kinase-like [Orbicella faveolata]"
"XP_020604126.1","arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020604130.1","ras-related protein Rab-9A-like [Orbicella faveolata]"
"XP_020604131.1","ubiquitin-like protein 3 [Orbicella faveolata]"
"XP_020604134.1","PC3-like endoprotease variant B [Orbicella faveolata]"
"XP_020604140.1","uncharacterized protein LOC110043069 [Orbicella faveolata]"
"XP_020604143.1","host cell factor 1-like [Orbicella faveolata]"
"XP_020604144.1","rho GTPase-activating protein 26-like isoform X1 [Orbicella faveolata]"
"XP_020604150.1","uncharacterized protein LOC110043078 [Orbicella faveolata]"
"XP_020604159.1","methylmalonic aciduria type A protein, mitochondrial-like [Orbicella faveolata]"
"XP_020604168.1","thioredoxin domain-containing protein 5-like [Orbicella faveolata]"
"XP_020604169.1","ras-related protein Rab-38-like [Orbicella faveolata]"
"XP_020604170.1","cytochrome b-c1 complex subunit 7-like [Orbicella faveolata]"
"XP_020604173.1","protein sidekick-1-like [Orbicella faveolata]"
"XP_020604174.1","THUMP domain-containing protein 3-like [Orbicella faveolata]"
"XP_020604176.1","elongation factor 1-gamma-like [Orbicella faveolata]"
"XP_020604179.1","ly6/PLAUR domain-containing protein 2-like [Orbicella faveolata]"
"XP_020604180.1","cycloartenol-C-24-methyltransferase 1-like [Orbicella faveolata]"
"XP_020604182.1","uncharacterized protein LOC110043110 [Orbicella faveolata]"
"XP_020604184.1","MAM and fibronectin type III domain-containing protein 1-like [Orbicella faveolata]"
"XP_020604185.1","sacsin-like [Orbicella faveolata]"
"XP_020604187.1","DNA polymerase epsilon subunit 2-like [Orbicella faveolata]"
"XP_020604188.1","uncharacterized protein LOC110043116 [Orbicella faveolata]"
"XP_020604189.1","acid phosphatase type 7-like isoform X1 [Orbicella faveolata]"
"XP_020604198.1","gephyrin-like [Orbicella faveolata]"
"XP_020604199.1","heat shock 70 kDa protein 13-like [Orbicella faveolata]"
"XP_020604201.1","uncharacterized protein LOC110043126 [Orbicella faveolata]"
"XP_020604205.1","calmodulin-A-like [Orbicella faveolata]"
"XP_020604209.1","transmembrane 9 superfamily member 1-like isoform X1 [Orbicella faveolata]"
"XP_020604214.1","oxysterol-binding protein-related protein 1-like [Orbicella faveolata]"
"XP_020604216.1","ATPase inhibitor A, mitochondrial-like [Orbicella faveolata]"
"XP_020604217.1","uncharacterized protein LOC110043138 isoform X1 [Orbicella faveolata]"
"XP_020604221.1","periostin-like isoform X1 [Orbicella faveolata]"
"XP_020604226.1","scavenger receptor cysteine-rich domain superfamily protein-like [Orbicella faveolata]"
"XP_020604227.1","calcium-independent protein kinase C-like [Orbicella faveolata]"
"XP_020604235.1","U4/U6 small nuclear ribonucleoprotein Prp31-like [Orbicella faveolata]"
"XP_020604236.1","mucin-like protein [Orbicella faveolata]"
"XP_020604238.1","peptidyl-prolyl cis-trans isomerase FKBP2-like [Orbicella faveolata]"
"XP_020604241.1","small nuclear ribonucleoprotein Sm D2 [Orbicella faveolata]"
"XP_020604242.1","3-hydroxyanthranilate 3,4-dioxygenase-like [Orbicella faveolata]"
"XP_020604244.1","dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial-like [Orbicella faveolata]"
"XP_020604251.1","tumor susceptibility gene 101 protein-like [Orbicella faveolata]"
"XP_020604254.1","nuclear factor NF-kappa-B p105 subunit-like isoform X1 [Orbicella faveolata]"
"XP_020604257.1","mammalian ependymin-related protein 1-like [Orbicella faveolata]"
"XP_020604259.1","transcriptional repressor protein YY1-like isoform X1 [Orbicella faveolata]"
"XP_020604272.1","copper chaperone for superoxide dismutase-like, partial [Orbicella faveolata]"
"XP_020604277.1","serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform-like [Orbicella faveolata]"
"XP_020604281.1","collectin-12-like [Orbicella faveolata]"
"XP_020604283.1","uncharacterized protein LOC110043188 [Orbicella faveolata]"
"XP_020604284.1","stimulated by retinoic acid gene 6 protein-like isoform X1 [Orbicella faveolata]"
"XP_020604291.1","uncharacterized protein LOC110043193 [Orbicella faveolata]"
"XP_020604292.1","uncharacterized protein LOC110043196 [Orbicella faveolata]"
"XP_020604293.1","uncharacterized protein LOC110043197 [Orbicella faveolata]"
"XP_020604294.1","uncharacterized protein LOC110043198 [Orbicella faveolata]"
"XP_020604297.1","uncharacterized protein LOC110043200, partial [Orbicella faveolata]"
"XP_020604298.1","tryptophan--tRNA ligase, cytoplasmic-like isoform X1 [Orbicella faveolata]"
"XP_020604304.1","adenosine 3'-phospho 5'-phosphosulfate transporter 1-like [Orbicella faveolata]"
"XP_020604306.1","calmodulin-like [Orbicella faveolata]"
"XP_020604308.1","tetratricopeptide repeat protein 7B-like isoform X1 [Orbicella faveolata]"
"XP_020604319.1","uncharacterized protein LOC110043219 [Orbicella faveolata]"
"XP_020604324.1","maltase A2-like [Orbicella faveolata]"
"XP_020604328.1","copper chaperone for superoxide dismutase-like [Orbicella faveolata]"
"XP_020604329.1","FK506-binding protein 2-like [Orbicella faveolata]"
"XP_020604335.1","uncharacterized protein LOC110043233 [Orbicella faveolata]"
"XP_020604337.1","guanylate-binding protein 2-like [Orbicella faveolata]"
"XP_020604338.1","glia maturation factor beta-like [Orbicella faveolata]"
"XP_020604344.1","glutaminase liver isoform, mitochondrial-like [Orbicella faveolata]"
"XP_020604346.1","uncharacterized protein LOC110043244 [Orbicella faveolata]"
"XP_020604351.1","uncharacterized protein LOC110043248 [Orbicella faveolata]"
"XP_020604353.1","fibropellin-1-like, partial [Orbicella faveolata]"
"XP_020604354.1","mitochondrial import inner membrane translocase subunit TIM50-like [Orbicella faveolata]"
"XP_020604357.1","protein NLRC3-like, partial [Orbicella faveolata]"
"XP_020604358.1","serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform-like [Orbicella faveolata]"
"XP_020604359.1","sacsin-like, partial [Orbicella faveolata]"
"XP_020604360.1","LOW QUALITY PROTEIN: sacsin-like [Orbicella faveolata]"
"XP_020604370.1","uncharacterized protein LOC110043269, partial [Orbicella faveolata]"
"XP_020604373.1","uncharacterized protein LOC110043272 [Orbicella faveolata]"
"XP_020604377.1","tetratricopeptide repeat protein 28-like [Orbicella faveolata]"
"XP_020604382.1","ero1-like protein, partial [Orbicella faveolata]"
"XP_020604383.1","TOM1-like protein 2 [Orbicella faveolata]"
"XP_020604388.1","mediator of RNA polymerase II transcription subunit 9-like [Orbicella faveolata]"
"XP_020604393.1","transmembrane protein 11, mitochondrial-like [Orbicella faveolata]"
"XP_020604399.1","titin-like isoform X1 [Orbicella faveolata]"
"XP_020604404.1","regulatory-associated protein of mTOR-like [Orbicella faveolata]"
"XP_020604411.1","glycerophosphodiester phosphodiesterase domain-containing protein 1-like [Orbicella faveolata]"
"XP_020604414.1","uncharacterized protein LOC110043310 [Orbicella faveolata]"
"XP_020604419.1","neural cell adhesion molecule 1-like [Orbicella faveolata]"
"XP_020604420.1","activated RNA polymerase II transcriptional coactivator p15-like [Orbicella faveolata]"
"XP_020604422.1","nuclear receptor subfamily 2 group F member 1-B-like isoform X1 [Orbicella faveolata]"
"XP_020604431.1","retinol dehydrogenase 7-like isoform X1 [Orbicella faveolata]"
"XP_020604434.1","pyroglutamyl-peptidase 1-like [Orbicella faveolata]"
"XP_020604437.1","dimethylglycine dehydrogenase, mitochondrial-like [Orbicella faveolata]"
"XP_020604439.1","dimethylglycine dehydrogenase, mitochondrial-like [Orbicella faveolata]"
"XP_020604441.1","betaine--homocysteine S-methyltransferase 1-like isoform X1 [Orbicella faveolata]"
"XP_020604443.1","oxidoreductase HTATIP2-like [Orbicella faveolata]"
"XP_020604449.1","beta-1,3-galactosyltransferase 5-like [Orbicella faveolata]"
"XP_020604454.1","degenerin unc-8-like [Orbicella faveolata]"
"XP_020604455.1","mitochondrial import inner membrane translocase subunit TIM44-like [Orbicella faveolata]"
"XP_020604456.1","transmembrane protein 35B-like [Orbicella faveolata]"
"XP_020604457.1","RNA-binding protein 8A-like [Orbicella faveolata]"
"XP_020604458.1","putative glucose-6-phosphate 1-epimerase [Orbicella faveolata]"
"XP_020604459.1","ras-related protein ORAB-1-like [Orbicella faveolata]"
"XP_020604472.1","cartilage oligomeric matrix protein-like [Orbicella faveolata]"
"XP_020604485.1","protein TFG-like [Orbicella faveolata]"
"XP_020604487.1","tropomyosin beta chain-like [Orbicella faveolata]"
"XP_020604490.1","uncharacterized protein LOC110043378 [Orbicella faveolata]"
"XP_020604498.1","acid ceramidase-like [Orbicella faveolata]"
"XP_020604504.1","uncharacterized protein LOC110043392 [Orbicella faveolata]"
"XP_020604512.1","DNA ligase 1-like [Orbicella faveolata]"
"XP_020604515.1","THO complex subunit 2-like [Orbicella faveolata]"
"XP_020604517.1","LOW QUALITY PROTEIN: protocadherin Fat 4-like [Orbicella faveolata]"
"XP_020604523.1","carbohydrate sulfotransferase 14-like [Orbicella faveolata]"
"XP_020604524.1","rab proteins geranylgeranyltransferase component A 1-like [Orbicella faveolata]"
"XP_020604525.1","nuclear pore complex protein Nup98-Nup96-like [Orbicella faveolata]"
"XP_020604526.1","neuronal migration protein doublecortin-like [Orbicella faveolata]"
"XP_020604528.1","serine/threonine-protein kinase DCLK1-like, partial [Orbicella faveolata]"
"XP_020604530.1","uncharacterized protein LOC110043422 [Orbicella faveolata]"
"XP_020604532.1","polycomb protein suz12-B-like [Orbicella faveolata]"
"XP_020604534.1","dachshund homolog 1-like [Orbicella faveolata]"
"XP_020604536.1","WD repeat-containing protein 17-like [Orbicella faveolata]"
"XP_020604543.1","tyrosine--tRNA ligase, cytoplasmic-like [Orbicella faveolata]"
"XP_020604546.1","beta-galactosidase-like [Orbicella faveolata]"
"XP_020604555.1","ATP-dependent (S)-NAD(P)H-hydrate dehydratase-like [Orbicella faveolata]"
"XP_020604563.1","stromal interaction molecule 1-like isoform X1 [Orbicella faveolata]"
"XP_020604565.1","amine oxidase [flavin-containing] B-like [Orbicella faveolata]"
"XP_020604575.1","FRAS1-related extracellular matrix protein 2-like [Orbicella faveolata]"
"XP_020604583.1","amidophosphoribosyltransferase-like [Orbicella faveolata]"
"XP_020604584.1","LOW QUALITY PROTEIN: uncharacterized protein LOC110043474 [Orbicella faveolata]"
"XP_020604585.1","multifunctional protein ADE2-like [Orbicella faveolata]"
"XP_020604586.1","protein kinase C-binding protein NELL1-like [Orbicella faveolata]"
"XP_020604601.1","uncharacterized protein LOC110043488 isoform X1 [Orbicella faveolata]"
"XP_020604603.1","uncharacterized protein LOC110043489 [Orbicella faveolata]"
"XP_020604604.1","calnexin-like isoform X1 [Orbicella faveolata]"
"XP_020604610.1","calnexin-like, partial [Orbicella faveolata]"
"XP_020604612.1","PGAP2-interacting protein-like [Orbicella faveolata]"
"XP_020604617.1","uncharacterized protein LOC110043500 [Orbicella faveolata]"
"XP_020604619.1","EGF domain-specific O-linked N-acetylglucosamine transferase-like isoform X1 [Orbicella faveolata]"
"XP_020604624.1","basic proline-rich protein-like [Orbicella faveolata]"
"XP_020604627.1","uncharacterized protein LOC110043505 [Orbicella faveolata]"
"XP_020604628.1","RNA-binding protein with serine-rich domain 1-like [Orbicella faveolata]"
"XP_020604629.1","L-lactate dehydrogenase-like [Orbicella faveolata]"
"XP_020604630.1","transmembrane protein 33-like [Orbicella faveolata]"
"XP_020604637.1","peroxisomal membrane protein PEX16-like [Orbicella faveolata]"
"XP_020604639.1","coiled-coil domain-containing protein 22 homolog [Orbicella faveolata]"
"XP_020604644.1","uncharacterized protein LOC110043523 [Orbicella faveolata]"
"XP_020604645.1","ABC transporter F family member 4-like [Orbicella faveolata]"
"XP_020604646.1","60S ribosomal protein L31-like isoform X1 [Orbicella faveolata]"
"XP_020604654.1","protocadherin Fat 4-like [Orbicella faveolata]"
"XP_020604656.1","histone-lysine N-methyltransferase 2D-like [Orbicella faveolata]"
"XP_020604663.1","cytochrome P450 3A19-like [Orbicella faveolata]"
"XP_020604672.1","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Orbicella faveolata]"
"XP_020604673.1","deoxyribose-phosphate aldolase-like [Orbicella faveolata]"
"XP_020604687.1","thioredoxin domain-containing protein 2-like isoform X1 [Orbicella faveolata]"
"XP_020604694.1","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Orbicella faveolata]"
"XP_020604698.1","uncharacterized protein LOC110043570 [Orbicella faveolata]"
"XP_020604701.1","lysosomal alpha-mannosidase-like [Orbicella faveolata]"
"XP_020604711.1","uncharacterized protein LOC110043583 [Orbicella faveolata]"
"XP_020604713.1","collagenase 3-like [Orbicella faveolata]"
"XP_020604716.1","uncharacterized protein LOC110043589 [Orbicella faveolata]"
"XP_020604723.1","sulfotransferase 1C4-like [Orbicella faveolata]"
"XP_020604728.1","vascular endothelial growth factor C-like isoform X1 [Orbicella faveolata]"
"XP_020604730.1","BAG family molecular chaperone regulator 1-like [Orbicella faveolata]"
